Record Date,Agency Name,Gross Cost (in Billions),Earned Revenue (in Billions),Subtotal (in Billions),Change in Assumptions (in Billions),Net Cost (in Billions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
9/30/2019,Department of Homeland Security,77,14,63,0.9,63.9,11,2019,4,2019,3,9,30
9/30/2019,Department of Energy,59.3,5.7,53.6,null,53.6,12,2019,4,2019,3,9,30
9/30/2019,Department of Labor,40.5,null,40.5,null,40.5,13,2019,4,2019,3,9,30
9/30/2019,Security Assistance Accounts,38.6,null,38.6,null,38.6,14,2019,4,2019,3,9,30
9/30/2019,Department of Justice,40.8,3.5,37.3,null,37.3,15,2019,4,2019,3,9,30
9/30/2019,Department of State,33.9,4.6,29.3,0.7,30,16,2019,4,2019,3,9,30
9/30/2019,Department of Housing and Urban Development,29.6,1.8,27.8,null,27.8,17,2019,4,2019,3,9,30
9/30/2019,National Aeronautics and Space Administration,21,0.2,20.8,null,20.8,18,2019,4,2019,3,9,30
9/30/2019,Department of the Interior,21.1,2.6,18.5,null,18.5,19,2019,4,2019,3,9,30
9/30/2019,U.S. Agency for International Development,12.2,0.1,12.1,null,12.1,20,2019,4,2019,3,9,30
9/30/2019,Railroad Retirement Board,12.1,null,12.1,null,12.1,21,2019,4,2019,3,9,30
9/30/2019,Federal Communication Commission,11.2,0.4,10.8,null,10.8,22,2019,4,2019,3,9,30
9/30/2019,Department of Commerce,13.8,3.6,10.2,null,10.2,23,2019,4,2019,3,9,30
9/30/2019,Environmental Protection Agency,8.8,0.3,8.5,null,8.5,24,2019,4,2019,3,9,30
9/30/2019,Pension Benefit Guaranty Corporation,35.7,27.8,7.9,null,7.9,25,2019,4,2019,3,9,30
9/30/2019,National Science Foundation,7.3,null,7.3,null,7.3,26,2019,4,2019,3,9,30
9/30/2019,U.S. Postal Service,77.5,70.2,7.3,null,7.3,27,2019,4,2019,3,9,30
9/30/2019,Smithsonian Institution,1.5,0.4,1.1,null,1.1,28,2019,4,2019,3,9,30
9/30/2019,Millennium Challenge Corporation,0.5,null,0.5,null,0.5,29,2019,4,2019,3,9,30
9/30/2019,National Credit Union Administration,0.4,0.2,0.2,null,0.2,30,2019,4,2019,3,9,30
9/30/2019,U.S. Nuclear Regulatory Commission,0.8,0.7,0.1,null,0.1,31,2019,4,2019,3,9,30
9/30/2019,Farm Credit System Insurance Corporation,0.1,0.2,-0.1,null,-0.1,32,2019,4,2019,3,9,30
9/30/2019,Small Business Administration,0.3,0.4,-0.1,null,-0.1,33,2019,4,2019,3,9,30
9/30/2019,Overseas Private Investment Corporation,-0.2,0.1,-0.3,null,-0.3,34,2019,4,2019,3,9,30
9/30/2019,Securities and Exchange Commission,1.8,2.1,-0.3,null,-0.3,35,2019,4,2019,3,9,30
9/30/2019,National Railroad Retirement Investment Trust,0.1,0.7,-0.6,null,-0.6,36,2019,4,2019,3,9,30
9/30/2019,Export-Import Bank of the U.S,-0.1,0.5,-0.6,null,-0.6,37,2019,4,2019,3,9,30
9/30/2019,General Services Administration,0.1,0.8,-0.7,null,-0.7,38,2019,4,2019,3,9,30
9/30/2019,Tennessee Valley Authority,9.9,11.3,-1.4,null,-1.4,39,2019,4,2019,3,9,30
9/30/2019,Federal Deposit Insurance Corporation,0.4,5,-4.6,null,-4.6,40,2019,4,2019,3,9,30
9/30/2019,All other entities,22,1.8,20.2,null,20.2,41,2019,4,2019,3,9,30
9/30/2019,Total,5287.2,418.4,4868.8,198.9,5067.7,42,2019,4,2019,3,9,30
